Flow IAT Mean,Tot Bwd Pkts,Fwd Header Len,Fwd IAT Std,Init Bwd Win Byts,Subflow Fwd Pkts,Bwd Header Len,ECE Flag Cnt,Flow Duration,Subflow Fwd Byts,Fwd Pkt Len Max,Bwd IAT Std,Subflow Bwd Byts,CWE Flag Count,SYN Flag Cnt,Pkt Len Var,Pkt Len Std,Flow IAT Std,Bwd Pkts/s,Pkt Len Max,Pkt Size Avg,Active Mean,Flow IAT Max,RST Flag Cnt,Idle Std,Bwd Pkt Len Max,Fwd IAT Mean,Bwd IAT Min,Fwd Pkt Len Std,Active Std,Fwd IAT Min,Bwd IAT Mean,Idle Max,Idle Min,Pkt Len Mean,Pkt Len Min,Bwd Pkt Len Std,Tot Fwd Pkts,TotLen Fwd Pkts,Fwd Pkts/s,Bwd Seg Size Avg,Fwd Seg Size Avg,Dst Port,Fwd IAT Max,Down/Up Ratio,Fwd Seg Size Min,Init Fwd Win Byts,Fwd Pkt Len Min,Bwd IAT Max,Fwd Act Data Pkts,PSH Flag Cnt,Protocol,ACK Flag Cnt,Flow IAT Min,Subflow Bwd Pkts,Active Min,Fwd Pkt Len Mean,Fwd PSH Flags,FIN Flag Cnt,Fwd URG Flags,URG Flag Cnt,Active Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd IAT Tot,Idle Mean,Fwd IAT Tot,TotLen Bwd Pkts
0.0,0,8,0.0,0,1,0,0,0.0,176,176.0,0.0,0,0,0,0.0,0.0,0.0,0.0,176,176.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,176,0.0,1,176,0.0,0.0,176.0,36432,0.0,0.0,8,0,176.0,0.0,1,0,17,0,0.0,0,0.0,176.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.33333333333333,0,32,37.95025984393549,0,4,0,0,82.0,288,72.0,0.0,0,0,0,0.0,0.0,37.95025984393549,0.0,72,72.0,0.0,81.0,0,0.0,0.0,27.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72,0.0,4,288,48780.487804878045,0.0,72.0,22,81.0,0.0,8,0,72.0,0.0,4,0,17,0,0.0,0,0.0,72.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,82.0,0
0.0,0,8,0.0,0,1,0,0,0.0,111,111.0,0.0,0,0,0,0.0,0.0,0.0,0.0,111,111.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,111,0.0,1,111,0.0,0.0,111.0,33759,0.0,0.0,8,0,111.0,0.0,1,0,17,0,0.0,0,0.0,111.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
923393.6363636364,0,240,2873255.460037218,0,12,0,0,10157330.0,8280,2922.0,0.0,0,0,0,865008.0,930.0580627036144,2873255.460037218,0.0,2922,690.0,13171.0,10008808.0,0,4261680.972128399,0.0,923393.6363636364,0.0,930.0580627036144,4195.0,0.0,0.0,9889859.0,9333.0,690.0,66,0.0,12,8280,1.1814128319154735,0.0,690.0,35088,10008808.0,0.0,20,1428,66.0,0.0,5,0,6,0,0.0,0,8976.0,690.0,0,0,0,0,17366.0,0.0,0.0,0.0,2508787.5,10157330.0,0
0.0,0,40,0.0,0,2,0,0,4032012.0,132,66.0,0.0,0,0,0,0.0,0.0,0.0,0.0,66,66.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66,0.0,2,132,0.4960302697511813,0.0,66.0,8381,0.0,0.0,20,65535,66.0,0.0,0,0,6,0,0.0,0,0.0,66.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1009570.6785714284,0,580,935173.2044602772,0,29,0,0,28267979.0,2014,104.0,0.0,0,0,0,97.62663495838288,9.880619158655133,935173.2044602776,0.0,104,69.44827586206897,533880.2,2032000.0,0,658999.8263421757,0.0,1009570.6785714284,0.0,9.880619158655133,734641.7275311551,0.0,0.0,1939883.0,24085.0,69.44827586206897,66,0.0,29,2014,1.025895767079776,0.0,69.44827586206897,8080,2032000.0,0.0,20,2048,66.0,0.0,2,0,6,0,0.0,0,67.0,69.44827586206897,0,1,0,0,2020047.0,0.0,0.0,0.0,413591.4615384616,28267979.0,0
1023998.7142857144,0,580,2403.647018552402,0,29,0,0,28671964.0,1740,60.0,0.0,0,0,0,0.0,0.0,2403.647018552416,0.0,60,60.0,0.0,1028015.0,0,509976.0,0.0,1023998.7142857144,0.0,0.0,0.0,1019889.0,0.0,1027985.0,8033.0,60.0,60,0.0,29,1740,1.0114410020883118,0.0,60.0,36808,1028015.0,0.0,20,243,60.0,0.0,29,0,6,0,1019889.0,0,0.0,60.0,0,1,0,0,0.0,0.0,0.0,0.0,518009.0,28671964.0,0
1024143.0,0,580,2924.7673900182645,0,29,0,0,28676004.0,1740,60.0,0.0,0,0,0,0.0,0.0,2924.7673900182704,0.0,60,60.0,6670.666666666667,1028032.0,0,439932.3914986114,0.0,1024143.0,0.0,0.0,1880.9590343462796,1019945.0,0.0,1023989.0,7937.0,60.0,60,0.0,29,1740,1.011298505886664,0.0,60.0,40390,1028032.0,0.0,20,122,60.0,0.0,29,0,6,0,1019945.0,0,4011.0,60.0,0,1,0,0,8040.999999999999,0.0,0.0,0.0,262003.75,28676004.0,0
1180769.4583333333,0,500,845060.9160116299,0,25,0,0,28338467.0,1688,104.0,0.0,0,0,0,55.44960000000001,7.446448818060862,845060.9160116299,0.0,104,67.52,1004211.8,2001375.0,0,499710.0895687819,0.0,1180769.4583333333,0.0,7.446448818060862,792049.7772547884,207.0,0.0,1703606.0,10961.0,67.52,66,0.0,25,1688,0.8821930981658253,0.0,67.52,8080,2001375.0,0.0,20,66,66.0,0.0,1,0,6,0,207.0,0,11238.0,67.52,0,1,0,0,1987697.0,0.0,0.0,0.0,702243.4,28338467.0,0
31028.33333333333,0,80,17480.67674764211,0,4,0,0,93085.0,246,66.0,0.0,0,0,0,6.75,2.598076211353316,17480.676747642112,0.0,66,61.5,0.0,48061.0,0,8513.5,0.0,31028.33333333333,0.0,2.598076211353316,0.0,6995.0,0.0,48061.0,31034.0,61.5,60,0.0,4,246,42.97147768168878,0.0,61.5,22,48061.0,0.0,20,64240,60.0,0.0,3,0,6,0,6995.0,0,0.0,61.5,0,1,0,0,0.0,0.0,0.0,0.0,39547.5,93085.0,0
